Municipality;Total, 65 yrs and over;65-79 yrs;80 yrs and over
Aa en Hunze;27,8;21,4;6,5
Aalsmeer;18,9;13,6;5,3
Aalten;23,8;18,2;5,7
Achtkarspelen;21,3;16,5;4,7
Alblasserdam;20,0;14,4;5,6
Albrandswaard;18,4;14,4;4,0
Alkmaar;20,7;16,0;4,6
Almelo;20,5;15,6;4,9
Almere;13,2;11,1;2,1
Alphen aan den Rijn;20,1;15,6;4,6
Alphen-Chaam;24,6;18,8;5,7
Altena;20,5;15,8;4,7
Ameland;24,5;19,0;5,5
Amersfoort;15,9;12,2;3,7
Amstelveen;19,2;13,6;5,7
Amsterdam;13,4;10,6;2,8
Apeldoorn;21,9;16,6;5,3
Arnhem;16,0;12,4;3,6
Assen;21,4;16,2;5,2
Asten;23,4;18,0;5,4
Baarle-Nassau;27,6;20,8;6,8
Baarn;25,0;18,1;6,9
Barendrecht;19,0;14,5;4,6
Barneveld;17,1;12,6;4,5
Beek (L.);27,0;19,8;7,1
Beekdaelen;27,1;20,3;6,8
Beesel;25,3;19,3;6,0
Berg en Dal;26,0;19,4;6,5
Bergeijk;23,6;17,9;5,7
Bergen (L.);25,5;19,9;5,7
Bergen (NH.);33,4;24,1;9,3
Bergen op Zoom;22,7;17,3;5,4
Berkelland;26,2;19,8;6,4
Bernheze;22,1;16,6;5,5
Best;20,0;15,0;5,0
Beuningen;21,3;16,7;4,6
Beverwijk;18,8;14,2;4,6
De Bilt;24,2;16,9;7,3
Bladel;22,7;16,7;6,0
Blaricum;24,2;18,8;5,4
Bloemendaal;27,3;18,7;8,5
Bodegraven-Reeuwijk;20,8;15,8;5,0
Boekel;19,9;15,2;4,7
Borger-Odoorn;25,9;20,1;5,7
Borne;22,3;16,8;5,4
Borsele;21,9;16,6;5,3
Boxtel;23,3;18,0;5,4
Breda;19,2;14,2;5,0
Bronckhorst;27,6;20,9;6,7
Brummen;26,6;19,6;7,0
Brunssum;26,5;19,8;6,7
Bunnik;22,4;16,0;6,4
Bunschoten;16,9;13,1;3,8
Buren;21,1;17,1;4,0
Capelle aan den IJssel;21,7;16,7;5,0
Castricum;26,0;18,9;7,1
Coevorden;25,8;19,5;6,2
Cranendonck;25,3;19,4;5,9
Culemborg;19,8;15,5;4,3
Dalfsen;22,1;16,5;5,6
Dantumadiel;23,3;17,4;5,9
Delft;16,4;12,6;3,8
Deurne;23,1;17,4;5,8
Deventer;18,9;14,3;4,7
Diemen;15,6;11,9;3,7
Dijk en Waard;19,7;15,6;4,1
Dinkelland;23,5;17,4;6,2
Doesburg;27,9;21,8;6,1
Doetinchem;22,1;16,8;5,2
Dongen;22,1;17,0;5,1
Dordrecht;19,7;14,9;4,8
Drechterland;22,5;17,6;4,9
Drimmelen;23,8;18,5;5,3
Dronten;18,6;14,3;4,3
Druten;21,0;16,5;4,5
Duiven;21,2;16,7;4,6
Echt-Susteren;27,1;20,7;6,4
Edam-Volendam;22,2;17,5;4,7
Ede;19,0;14,3;4,8
Eemnes;21,7;16,9;4,8
Eemsdelta;25,8;19,4;6,4
Eersel;23,4;17,1;6,3
Eijsden-Margraten;26,6;19,9;6,7
Eindhoven;16,5;12,0;4,5
Elburg;20,1;15,4;4,7
Emmen;24,1;18,3;5,7
Enkhuizen;22,7;17,6;5,1
Enschede;18,2;13,7;4,5
Epe;26,1;19,3;6,8
Ermelo;24,0;17,7;6,3
Etten-Leur;21,8;16,8;5,0
De Fryske Marren;24,6;18,6;6,0
Geertruidenberg;22,2;17,1;5,1
Geldrop-Mierlo;22,9;17,1;5,9
Gemert-Bakel;21,2;16,5;4,7
Gennep;25,4;19,5;5,9
Gilze en Rijen;22,0;16,9;5,1
Goeree-Overflakkee;22,6;16,9;5,7
Goes;24,3;17,7;6,6
Goirle;24,3;19,2;5,2
Gooise Meren;20,8;14,5;6,3
Gorinchem;19,1;14,3;4,8
Gouda;20,1;15,1;5,0
's-Gravenhage (gemeente);15,0;11,5;3,5
Groningen (gemeente);15,4;11,8;3,6
Gulpen-Wittem;30,4;22,8;7,6
Haaksbergen;25,4;18,6;6,8
Haarlem;17,4;13,1;4,3
Haarlemmermeer;17,5;13,6;3,9
Halderberge;24,1;18,2;5,9
Hardenberg;19,8;15,0;4,7
Harderwijk;19,5;14,9;4,6
Hardinxveld-Giessendam;18,9;13,9;5,0
Harlingen;26,5;20,4;6,1
Hattem;23,0;17,0;6,0
Heemskerk;23,3;16,9;6,5
Heemstede;27,4;18,8;8,5
Heerde;24,4;18,2;6,1
Heerenveen;22,8;16,8;6,0
Heerlen;24,1;17,9;6,2
Heeze-Leende;25,8;18,8;7,0
Heiloo;27,1;19,1;8,1
Den Helder;24,2;18,6;5,6
Hellendoorn;23,3;17,7;5,6
Helmond;17,9;13,9;4,0
Hendrik-Ido-Ambacht;17,3;12,9;4,4
Hengelo (O.);20,7;15,5;5,2
's-Hertogenbosch;19,0;14,8;4,3
Heumen;25,3;18,7;6,7
Heusden;21,9;16,7;5,1
Hillegom;21,2;15,9;5,3
Hilvarenbeek;23,8;17,9;5,9
Hilversum;18,7;13,6;5,2
Hoeksche Waard;23,2;17,8;5,5
Hof van Twente;25,9;18,8;7,2
Het Hogeland;25,1;19,7;5,4
Hollands Kroon;21,9;16,8;5,1
Hoogeveen;22,6;16,8;5,8
Hoorn;20,4;16,2;4,2
Horst aan de Maas;23,1;17,2;5,9
Houten;17,9;14,6;3,2
Huizen;25,4;19,4;6,0
Hulst;26,4;19,7;6,7
IJsselstein;19,4;14,8;4,6
Kaag en Braassem;21,6;16,4;5,1
Kampen;17,8;13,5;4,3
Kapelle;22,1;16,6;5,5
Katwijk;19,0;14,5;4,5
Kerkrade;26,6;20,0;6,6
Koggenland;21,3;16,4;4,9
Krimpen aan den IJssel;24,6;17,5;7,1
Krimpenerwaard;21,8;16,3;5,5
Laarbeek;23,7;18,1;5,6
Land van Cuijk;23,5;17,8;5,6
Landgraaf;26,9;20,7;6,2
Landsmeer;22,6;16,8;5,8
Lansingerland;16,2;12,1;4,1
Laren (NH.);31,6;20,3;11,2
Leeuwarden;19,4;14,9;4,5
Leiden;16,2;12,5;3,7
Leiderdorp;23,3;17,3;5,9
Leidschendam-Voorburg;23,2;16,7;6,5
Lelystad;18,1;15,0;3,1
Leudal;26,0;19,6;6,5
Leusden;23,2;17,7;5,5
Lingewaard;23,3;18,2;5,1
Lisse;23,7;17,4;6,3
Lochem;29,3;21,3;8,0
Loon op Zand;23,6;17,6;6,0
Lopik;18,5;14,5;3,9
Losser;24,9;19,2;5,6
Maasdriel;20,0;15,9;4,1
Maasgouw;28,3;21,4;7,0
Maashorst;22,6;17,1;5,5
Maassluis;22,7;17,5;5,2
Maastricht;22,3;16,4;5,8
Medemblik;22,4;17,9;4,6
Meerssen;27,8;20,4;7,4
Meierijstad;21,8;16,7;5,1
Meppel;20,7;15,8;4,9
Middelburg (Z.);22,9;17,0;5,9
Midden-Delfland;20,8;15,5;5,3
Midden-Drenthe;25,0;19,2;5,8
Midden-Groningen;23,2;17,9;5,3
Moerdijk;22,7;17,5;5,2
Molenlanden;19,6;15,1;4,4
Montferland;24,5;18,5;6,0
Montfoort;20,7;15,9;4,8
Mook en Middelaar;28,1;21,1;6,9
Neder-Betuwe;17,4;13,8;3,6
Nederweert;24,6;18,4;6,2
Nieuwegein;21,3;17,3;4,1
Nieuwkoop;21,7;16,8;4,8
Nijkerk;19,4;14,8;4,7
Nijmegen;16,7;13,0;3,7
Nissewaard;21,2;16,7;4,5
Noardeast-Fryslân;22,3;16,9;5,4
Noord-Beveland;29,9;22,9;7,0
Noordenveld;28,5;20,9;7,5
Noordoostpolder;18,5;14,4;4,1
Noordwijk;22,9;17,6;5,4
Nuenen, Gerwen en Nederwetten;26,4;19,7;6,7
Nunspeet;21,3;15,8;5,5
Oegstgeest;21,1;15,4;5,7
Oirschot;23,6;17,8;5,8
Oisterwijk;25,1;18,4;6,7
Oldambt;25,6;19,6;6,0
Oldebroek;19,9;15,2;4,6
Oldenzaal;24,6;18,4;6,1
Olst-Wijhe;23,0;17,6;5,3
Ommen;23,4;18,0;5,4
Oost Gelre;23,8;18,0;5,8
Oosterhout;23,1;17,8;5,4
Ooststellingwerf;25,6;19,4;6,3
Oostzaan;21,7;16,0;5,7
Opmeer;22,7;17,4;5,3
Opsterland;23,1;17,6;5,5
Oss;20,5;15,7;4,8
Oude IJsselstreek;25,3;19,0;6,3
Ouder-Amstel;22,0;16,9;5,1
Oudewater;22,4;16,5;5,9
Overbetuwe;20,6;15,9;4,7
Papendrecht;22,8;16,9;5,9
Peel en Maas;23,6;18,0;5,7
Pekela;23,4;18,2;5,2
Pijnacker-Nootdorp;15,6;11,6;4,1
Purmerend;21,0;15,7;5,3
Putten;21,2;15,5;5,7
Raalte;23,6;17,7;5,9
Reimerswaal;17,7;13,4;4,3
Renkum;28,9;20,6;8,3
Renswoude;15,7;13,1;2,7
Reusel-De Mierden;22,2;18,0;4,2
Rheden;26,9;18,6;8,3
Rhenen;22,4;16,6;5,8
Ridderkerk;24,2;17,4;6,8
Rijssen-Holten;19,4;14,3;5,1
Rijswijk (ZH.);20,9;15,1;5,9
Roerdalen;28,6;21,9;6,7
Roermond;22,1;16,9;5,3
De Ronde Venen;22,0;16,7;5,3
Roosendaal;22,4;16,9;5,5
Rotterdam;15,6;11,7;3,9
Rozendaal;24,1;18,0;6,1
Rucphen;23,0;18,3;4,8
Schagen;25,6;19,4;6,1
Scherpenzeel;19,7;14,8;4,9
Schiedam;17,5;13,2;4,3
Schiermonnikoog;29,6;22,2;7,4
Schouwen-Duiveland;28,4;21,0;7,4
Simpelveld;28,0;20,8;7,3
Sint-Michielsgestel;22,4;16,7;5,8
Sittard-Geleen;25,2;18,8;6,4
Sliedrecht;20,2;14,6;5,6
Sluis;29,5;21,7;7,8
Smallingerland;22,3;16,6;5,7
Soest;23,2;17,2;5,9
Someren;21,2;15,9;5,3
Son en Breugel;22,0;14,7;7,4
Stadskanaal;25,9;18,8;7,1
Staphorst;16,0;12,5;3,6
Stede Broec;23,1;18,5;4,7
Steenbergen;23,4;18,0;5,4
Steenwijkerland;23,3;17,7;5,6
Stein (L.);28,5;21,4;7,1
Stichtse Vecht;21,8;16,8;4,9
Súdwest-Fryslân;23,7;17,8;5,9
Terneuzen;25,5;18,8;6,7
Terschelling;24,3;18,1;6,2
Texel;27,1;21,2;5,9
Teylingen;20,6;15,3;5,3
Tholen;19,7;14,9;4,8
Tiel;19,0;14,8;4,2
Tilburg;17,3;13,2;4,1
Tubbergen;20,9;15,9;5,0
Twenterand;20,5;16,0;4,5
Tynaarlo;25,1;18,4;6,7
Tytsjerksteradiel;24,6;18,3;6,2
Uitgeest;19,4;15,1;4,3
Uithoorn;18,2;12,9;5,2
Urk;10,1;8,0;2,1
Utrecht (gemeente);10,7;8,1;2,6
Utrechtse Heuvelrug;24,9;17,4;7,5
Vaals;28,7;21,0;7,7
Valkenburg aan de Geul;30,7;22,1;8,6
Valkenswaard;26,1;19,1;7,0
Veendam;23,9;18,4;5,5
Veenendaal;18,7;14,4;4,3
Veere;28,4;21,5;6,9
Veldhoven;22,4;16,5;5,9
Velsen;21,3;15,8;5,5
Venlo;22,7;17,1;5,6
Venray;22,8;17,2;5,6
Vijfheerenlanden;20,3;15,4;4,9
Vlaardingen;21,1;15,4;5,7
Vlieland;20,0;14,8;5,2
Vlissingen;24,7;18,6;6,1
Voerendaal;28,7;21,4;7,3
Voorne aan Zee;24,0;18,6;5,4
Voorschoten;24,0;17,1;6,9
Voorst;25,1;19,1;6,1
Vught;22,6;16,7;5,9
Waadhoeke;23,4;18,1;5,3
Waalre;24,2;16,9;7,3
Waalwijk;21,7;16,5;5,3
Waddinxveen;18,5;14,1;4,4
